Producer,County,🥇 First,🥈 Second,🥉 Third,👍 Commended,Total,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Sisson & Smith,Nottinghamshire,3,1,2,0,6,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
Rosie's Triple D Cider,Denbighshire,2,2,0,0,4,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
Henhope Cider,Herefordshire,1,1,1,0,3,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
The Lingens Farm,Worcestershire,1,1,1,0,3,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
Palmers Upland Cyder,Newport,2,0,0,0,2,2520,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
Naked Orchards,Worcestershire,0,0,2,0,2,3561,Inactive,,,,,,"<a href=""https://untappd.com/w/naked-orchard-cidery/437439"">Untappd</a>"
On Point Cider Company,Herefordshire,1,0,0,0,1,3098,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
McCrindle's Cider,Gloucestershire,0,1,0,0,1,2790,Active,"<a href=""http://mccrindlescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054383207510"">Facebook</a>",,,,"<a href=""https://untappd.com/w/mccrindles/18884"">Untappd</a>"
Ragged Stone Cider & Perry,Gloucestershire,0,1,0,0,1,2791,Active,,"<a href=""https://www.facebook.com/raggedstonecider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/ragged-stone/201743"">Untappd</a>"
Rob Castle,Gloucestershire,0,1,0,0,1,3562,Active,,,,,,
Cwm Maddoc Cider & Perry,Herefordshire,0,0,1,0,1,2390,Active,"<a href=""https://hollow-ash.co.uk/cwm-maddoc-cider-perry/"">Website</a>","<a href=""https://www.facebook.com/HollowAshOrchard"">Facebook</a>","<a href=""https://www.instagram.com/hollow_ash_orchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948326245436298276"">Google</a>",,"<a href=""https://untappd.com/w/cwm-maddoc/343615"">Untappd</a>"
Gwatkin Cider,Herefordshire,0,0,0,1,1,1215,Active,"<a href=""https://gwatkincider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pages/Gwatkin-Cider/138521139506859"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17407558906326157260"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/12203"">Untappd</a>"
Total,,10,8,7,1,26,,,,,,,,
