ID,Year,Category,Producer,Producer_Original,Department,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
55,2018,Eau de Vie de Cidre de Moins de 4 Ans,Les Vergers de Kermabo,Les Vergers de Kermabo,Morbihan,🥇 Or,3365,Inactive,"<a href=""https://www.cidre-fermier-morbihan.com/"">Website</a>","<a href=""https://www.facebook.com/vergersdekermabo"">Facebook</a>",,,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1200982-d12593344"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermabo/53393"">Untappd</a>"
56,2018,Eau de Vie de Cidre de Moins de 4 Ans,Cidrerie Paul Coïc,Cidrerie Paul Coïc,Finistère,🥈 Argent,1588,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
57,2018,Eau de Vie de Cidre de Moins de 4 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥉 Bronze,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
58,2018,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥇 Or,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
59,2018,Eau de Vie de Cidre de Plus de 4 Ans,Cidrerie de Menez-Brug,Cidrerie de Menez Brug,Finistère,🥈 Argent,1931,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
60,2018,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie Artisanale du Plessis,Distillerie du Plessis,Finistère,🥈 Argent,1594,Active,"<a href=""http://www.distillerie-bretagne.com/"">Website</a>",,,,,
61,2019,Cidre AOP Cornouaille,Cidrerie Melenig,Cidrerie Melenig,Finistère,🥇 Or,1590,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
62,2019,Cidre Fermier Brut,Ferme Saint Charles,La Ferme Saint-Charles,Loire-Atlantique,🥇 Or,2883,Active,"<a href=""https://www.fermesaintcharles.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069349890721"">Facebook</a>","<a href=""https://www.instagram.com/ferme_saint_charles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3373440369955425792"">Google</a>",,"<a href=""https://untappd.com/w/ferme-saint-charles/416358"">Untappd</a>"
63,2019,Cidre Fermier Brut,Des Bouteilles à l'Amère,Des bouteilles à l’Amer,Finistère,🥈 Argent,2541,Active,"<a href=""https://www.desbouteillesalamere.bzh/"">Website</a>","<a href=""https://www.facebook.com/desbouteillesalamere/"">Facebook</a>","<a href=""https://www.instagram.com/desbouteillesalamere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267304468269310183"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d12726387"">TripAdvisor</a>","<a href=""https://untappd.com/DesBouteillesalAmere"">Untappd</a>"
64,2019,Cidre Fermier Brut,Au Pressoir du Bélon,Le Pressoir du Bélon,Finistère,🥈 Argent,2712,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
65,2019,Cidre Fermier Brut,Cidrerie Benoit,Cidrerie Benoît,Côtes-d'Armor,🥈 Argent,2884,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
66,2019,Cidre Fermier Brut,Cidrerie Tudker,Cidrerie fermière Tudker,Côtes-d'Armor,🥈 Argent,1645,Active,"<a href=""https://bretagnecidrebio.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063724893165"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1056010068261790518"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-tudker/476163"">Untappd</a>"
67,2019,Cidre Fermier Brut,Val de la Chèvre,Le Val de la Chèvre,Ille-et-Vilaine,🥉 Bronze,1648,Active,"<a href=""https://www.cidre-tropee.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100046412293517"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3608898340704275469"">Google</a>",,"<a href=""https://untappd.com/w/le-val-de-la-chevre/172156"">Untappd</a>"
68,2019,Cidre Fermier Demi-Sec,Cidrerie Melenig,Cidrerie Melenig,Finistère,🥇 Or,1590,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
69,2019,Cidre Fermier Demi-Sec,Ferme Saint Charles,La Ferme Saint-Charles,Loire-Atlantique,🥇 Or,2883,Active,"<a href=""https://www.fermesaintcharles.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069349890721"">Facebook</a>","<a href=""https://www.instagram.com/ferme_saint_charles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3373440369955425792"">Google</a>",,"<a href=""https://untappd.com/w/ferme-saint-charles/416358"">Untappd</a>"
70,2019,Cidre Fermier Demi-Sec,Cidrerie Château Lézergué,Cidrerie du Château de Lézergué,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
71,2019,Cidre Fermier Demi-Sec,La Belle Vilaine,Cidrerie La Belle Vilaine,Ille-et-Vilaine,🥈 Argent,2930,Active,,,,"<a href=""https://maps.google.com/?cid=5696528707638308410"">Google</a>",,"<a href=""https://untappd.com/w/la-belle-vilaine/353880"">Untappd</a>"
72,2019,Cidre Fermier Demi-Sec,Cidrerie Huby,Cidre la Vallée du Mel,Ille-et-Vilaine,🥉 Bronze,2925,Active,"<a href=""http://www.cidreriehuby.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriehuby35/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_huby/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14757172260846963924"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-huby/351358"">Untappd</a>"
73,2019,Cidre Fermier Doux,Cidrerie Château Lézergué,Cidrerie du Château de Lézergué,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
74,2019,Cidre Artisanal Brut,Cidrerie La Ruaudaie,Cidrerie Le Clos de la Ruaudais,Morbihan,🥇 Or,2927,Active,,"<a href=""https://www.facebook.com/Cidrerie.La.Ruaudaie"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=9093489147196571898"">Google</a>",,"<a href=""https://untappd.com/w/la-ruaudaie/92611"">Untappd</a>"
75,2019,Cidre Artisanal Brut,Cidrerie Des Terroirs,Cidrerie des Terroirs,Morbihan,🥉 Bronze,2896,Active,,,,"<a href=""https://maps.google.com/?cid=1276600632339613858"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-des-terroirs/72347"">Untappd</a>"
76,2019,Cidre Artisanal Demi-Sec,Cidrerie de Tromelin,Cidrerie de Tromelin,Finistère,🥇 Or,2726,Active,"<a href=""https://www.kanarmor-ateliers.fr/nos-prestations/cidrerie/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=14804747814937357332"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-de-tromelin/160083"">Untappd</a>"
77,2019,Cidre Artisanal Demi-Sec,Cidrerie Des Terroirs,Cidrerie des Terroirs,Morbihan,🥇 Or,2896,Active,,,,"<a href=""https://maps.google.com/?cid=1276600632339613858"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-des-terroirs/72347"">Untappd</a>"
78,2019,Cidre Artisanal Demi-Sec,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥈 Argent,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
79,2019,Cidre Artisanal Doux,Cidrerie La Ruaudaie,Cidrerie Le Clos de la Ruaudais,Morbihan,🥇 Or,2927,Active,,"<a href=""https://www.facebook.com/Cidrerie.La.Ruaudaie"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=9093489147196571898"">Google</a>",,"<a href=""https://untappd.com/w/la-ruaudaie/92611"">Untappd</a>"
80,2019,Cidre de Grande Maison Brut,Cidres Kerisac,Cidrerie Kerisac,Loire-Atlantique,🥈 Argent,1141,Active,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
81,2019,Cidre de Grande Maison Doux,Les Celliers Associés,Cidrerie Val de Rance,Côtes-d'Armor,🥇 Or,1999,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
82,2019,Poiré,Cidre de Brocéliande,Cidre de Brocéliande,Ille-et-Vilaine,🥇 Or,2893,Active,"<a href=""https://cidre-breton.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064718610464"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedebroceliande/"">Instagram</a>","<a href=""https://maps.google.com/?cid=531489837427288496"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-du-pays-de-broceliande/158895"">Untappd</a>"
83,2019,Pommeau de Moins de 3 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥇 Or,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
84,2019,Pommeau de Moins de 3 Ans,Cidrerie Paul Coïc,Cidrerie Paul Coïc,Finistère,🥈 Argent,1588,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
85,2019,Pommeau de Plus de 3 Ans,Cidrerie Manoir du Kinkiz,Cidrerie Manoir du Kinkiz,Finistère,🥇 Or,1589,Active,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
86,2019,Pommeau de Plus de 3 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥈 Argent,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
87,2019,Eau de Vie de Cidre de Moins de 4 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥈 Argent,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
88,2019,Eau de Vie de Cidre de Moins de 4 Ans,Cidrerie Paul Coïc,Cidrerie Paul Coïc,Finistère,🥉 Bronze,1588,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
89,2019,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie du Gorvello,Distillerie du Gorvello,Morbihan,🥇 Or,1595,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
90,2019,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie Warenghem,Distillerie Warenghem,Côtes-d'Armor,🥈 Argent,1592,Active,"<a href=""https://www.distillerie-warenghem.bzh/"">Website</a>","<a href=""https://www.facebook.com/warenghem/"">Facebook</a>",,,,
91,2019,Eau de Vie de Cidre de Plus de 4 Ans,Distillerie Artisanale du Plessis,Distillerie du Plessis,Finistère,🥉 Bronze,1594,Active,"<a href=""http://www.distillerie-bretagne.com/"">Website</a>",,,,,
92,2021,Cidre AOP Cornouaille,Les Vergers de Kermao,Les Vergers de Kermao,Finistère,🥇 Or,1587,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
93,2021,Cidre Fermier Brut,Des Bouteilles à l'Amère,Des Bouteilles à l’amère,Finistère,🥇 Or,2541,Active,"<a href=""https://www.desbouteillesalamere.bzh/"">Website</a>","<a href=""https://www.facebook.com/desbouteillesalamere/"">Facebook</a>","<a href=""https://www.instagram.com/desbouteillesalamere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267304468269310183"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d12726387"">TripAdvisor</a>","<a href=""https://untappd.com/DesBouteillesalAmere"">Untappd</a>"
94,2021,Cidre Fermier Brut,Ferme Saint Charles,La Ferme Saint-Charles,Loire-Atlantique,🥇 Or,2883,Active,"<a href=""https://www.fermesaintcharles.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069349890721"">Facebook</a>","<a href=""https://www.instagram.com/ferme_saint_charles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3373440369955425792"">Google</a>",,"<a href=""https://untappd.com/w/ferme-saint-charles/416358"">Untappd</a>"
95,2021,Cidre Fermier Brut,Cidrerie Château Lézergué,La Cidrerie Château de Lézergué,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
96,2021,Cidre Fermier Brut,Cidrerie Melenig,La Cidrerie Mélénig,Finistère,🥈 Argent,1590,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
97,2021,Cidre Fermier Brut,Cidrerie Le Maître,François Le Maitre,Côtes-d'Armor,🥈 Argent,2928,Active,,,,"<a href=""https://maps.google.com/?cid=18166029394058249899"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-le-maitre/438757"">Untappd</a>"
98,2021,Cidre Fermier Brut,Val de la Chèvre,Le Val de la Chèvre,Ille-et-Vilaine,🥈 Argent,1648,Active,"<a href=""https://www.cidre-tropee.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100046412293517"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3608898340704275469"">Google</a>",,"<a href=""https://untappd.com/w/le-val-de-la-chevre/172156"">Untappd</a>"
99,2021,Cidre Fermier Brut,Cidrerie & Distillerie de l'Apothicaire,La Cidrerie de l’Apothicaire,Finistère,🥈 Argent,2687,Active,"<a href=""https://www.cidrerie-distillerie.com/"">Website</a>","<a href=""https://www.facebook.com/Cidreriedistilleriedelapothicaire/"">Facebook</a>","<a href=""https://www.instagram.com/apothicaire.cidrerie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10193719059274362566"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d17415922"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieDeLApothicaire"">Untappd</a>"
100,2021,Cidre Fermier Extra-Brut,Cidrerie Paul Coïc,La Cidrerie Paul Coïc,Finistère,🥇 Or,1588,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
101,2021,Cidre Fermier Extra-Brut,Cidrerie Benoit,La Cidrerie Benoît,Côtes-d'Armor,🥉 Bronze,2884,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
102,2021,Cidre Fermier Extra-Brut,Cidrerie Château Lézergué,La Cidrerie Château de Lézergué,Finistère,🥉 Bronze,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
103,2021,Cidre Fermier Demi-Sec,Cidrerie Benoit,La Cidrerie Benoît,Côtes-d'Armor,🥇 Or,2884,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
104,2021,Cidre Fermier Demi-Sec,Au Pressoir du Bélon,Le Pressoir du Bélon,Finistère,🥇 Or,2712,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
105,2021,Cidre Fermier Demi-Sec,Le Verger de Kernivinen,Le Verger de Kernivinen,Côtes-d'Armor,🥇 Or,2933,Active,"<a href=""http://www.cidre-fermier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=4984251969580277806"">Google</a>",,"<a href=""https://untappd.com/w/le-verger-de-kernivinen/412595"">Untappd</a>"
106,2021,Cidre Fermier Demi-Sec,Ferme Saint Charles,La Ferme Saint-Charles,Loire-Atlantique,🥈 Argent,2883,Active,"<a href=""https://www.fermesaintcharles.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069349890721"">Facebook</a>","<a href=""https://www.instagram.com/ferme_saint_charles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3373440369955425792"">Google</a>",,"<a href=""https://untappd.com/w/ferme-saint-charles/416358"">Untappd</a>"
107,2021,Cidre Fermier Demi-Sec,Cidrerie & Distillerie de l'Apothicaire,La Cidrerie de l’Apothicaire,Finistère,🥈 Argent,2687,Active,"<a href=""https://www.cidrerie-distillerie.com/"">Website</a>","<a href=""https://www.facebook.com/Cidreriedistilleriedelapothicaire/"">Facebook</a>","<a href=""https://www.instagram.com/apothicaire.cidrerie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10193719059274362566"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d17415922"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieDeLApothicaire"">Untappd</a>"
108,2021,Cidre Fermier Demi-Sec,Cidrerie Tudker,La Cidrerie Tudker,Côtes-d'Armor,🥉 Bronze,1645,Active,"<a href=""https://bretagnecidrebio.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063724893165"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1056010068261790518"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-tudker/476163"">Untappd</a>"
109,2021,Cidre Fermier Doux,Cidrerie Château Lézergué,La Cidrerie Château de Lézergué,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
110,2021,Cidre Fermier Doux,Cidrerie de Menez-Brug,La Cidrerie de Menez Brug,Finistère,🥈 Argent,1931,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
111,2021,Cidre Artisanal Extra-Brut,Cidrerie Château Lézergué,Les Celliers de l’Odet,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
112,2021,Cidre Artisanal Brut,Distillerie des Menhirs,La Distillerie des Menhirs,Finistère,🥇 Or,1182,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
113,2021,Cidre Artisanal Brut,Cidrerie Des Terroirs,La Cidrerie des Terroirs,Morbihan,🥈 Argent,2896,Active,,,,"<a href=""https://maps.google.com/?cid=1276600632339613858"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-des-terroirs/72347"">Untappd</a>"
114,2021,Cidre Artisanal Demi-Sec,Cidre du Pays de Plouay,La Cidrerie Martin Nicolas,Morbihan,🥇 Or,2914,Active,"<a href=""https://cidredupaysdeplouay.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5411051270521029089"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-pays-de-plouay/523878"">Untappd</a>"
115,2021,Cidre Artisanal Doux,Cidrerie Château Lézergué,Les Celliers de l’Odet,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
